City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Rikitea,PF,79.72,clear sky,-23.1203,-134.9692,Pension Maro'i
11,Pitimbu,BR,77.0,few clouds,-7.4706,-34.8086,Reserva do Abiaí
13,Busselton,AU,82.35,broken clouds,-33.65,115.3333,Observatory Guest House
15,Nortelandia,BR,73.72,few clouds,-14.4547,-56.8028,Hotel Karysmã
21,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
26,Cap Malheureux,MU,80.01,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
33,El Jicaro,GT,75.61,clear sky,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
36,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
41,Arraial Do Cabo,BR,77.11,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
44,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Port Macquarie,AU,77.0,light rain,-31.4333,152.9167,Rydges Port Macquarie
54,Salvador,SV,75.2,clear sky,13.8333,-88.9167,Chico's Ranch
56,Cabo Rojo,PR,75.99,clear sky,18.0866,-67.1457,Hotel Perichi's
58,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
63,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Acarau,BR,76.32,light rain,-2.8856,-40.12,castelo pizzaria
70,Atuona,PF,80.91,broken clouds,-9.8,-139.0333,Villa Enata
73,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
78,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
79,Victoria,HK,81.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
82,Sinnamary,GF,77.54,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
85,Mahebourg,MU,73.4,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Lucea,JM,77.0,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
103,Bowen,AU,86.0,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
104,Dingle,PH,86.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
109,Faanui,PF,82.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
110,Butaritari,KI,81.43,light rain,3.0707,172.7902,Isles Sunset Lodge
111,Sambava,MG,75.33,overcast clouds,-14.2667,50.1667,Melrose
119,Yulara,AU,86.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
120,Puerto Ayora,EC,75.99,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
