City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hualmay,PE,-11.0964,-77.6139,69.87,82,75,5.95,broken clouds
1,Chokurdakh,RU,70.6333,147.9167,3.36,93,97,5.19,overcast clouds
2,Xinqing,CN,48.2333,129.5,36.27,98,100,2.84,light snow
3,Vardo,NO,70.3705,31.1107,33.8,86,75,9.22,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,79.72,71,1,14.63,clear sky
5,Hermanus,ZA,-34.4187,19.2345,62.01,83,100,7.0,overcast clouds
6,Kodiak,US,57.79,-152.4072,44.6,57,1,9.22,clear sky
7,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,98,8.05,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,62.6,77,20,17.27,few clouds
9,Mataura,NZ,-46.1927,168.8643,61.0,87,21,10.0,few clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,20,6.91,few clouds
11,Pitimbu,BR,-7.4706,-34.8086,77.0,100,20,3.44,few clouds
12,Ilinskiy,RU,55.619,38.1182,30.0,80,0,2.24,clear sky
13,Busselton,AU,-33.65,115.3333,82.35,30,54,2.37,broken clouds
14,Barra Do Corda,BR,-5.5,-45.25,71.78,97,51,2.86,broken clouds
15,Nortelandia,BR,-14.4547,-56.8028,73.72,81,23,2.08,few clouds
16,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,13.8,clear sky
17,Bethel,US,41.3712,-73.414,53.01,82,100,7.0,light rain
18,Talnakh,RU,69.4865,88.3972,-5.64,97,97,7.76,overcast clouds
19,Cape Town,ZA,-33.9258,18.4232,64.99,88,0,2.3,clear sky
20,Aklavik,CA,68.2191,-135.0107,-2.2,50,27,3.44,scattered clouds
21,Avarua,CK,-21.2078,-159.775,82.4,78,75,14.97,broken clouds
22,Necochea,AR,-38.5473,-58.7368,59.0,88,38,7.2,scattered clouds
23,Uxbridge,US,42.0773,-71.6295,53.01,2,100,10.0,moderate rain
24,Punta Arenas,CL,-53.15,-70.9167,41.0,81,0,5.75,clear sky
25,Port Alfred,ZA,-33.5906,26.891,65.19,77,100,19.82,overcast clouds
26,Cap Malheureux,MU,-19.9842,57.6142,80.01,76,22,4.65,few clouds
27,Cabildo,AR,-38.4842,-61.8954,55.0,93,96,7.34,overcast clouds
28,Half Moon Bay,US,37.4636,-122.4286,62.6,100,90,8.05,mist
29,Port-Cartier,CA,50.0334,-66.8654,27.0,100,90,24.16,snow
30,Yellowknife,CA,62.456,-114.3525,12.2,62,75,21.85,broken clouds
31,Mawlaik,MM,23.6333,94.4167,94.82,11,92,0.89,overcast clouds
32,Salmon Creek,US,45.7107,-122.649,42.8,56,40,12.66,light rain
33,El Jicaro,GT,14.9167,-89.9,75.61,76,0,4.21,clear sky
34,Pacific Grove,US,36.6177,-121.9166,54.0,76,1,3.09,clear sky
35,Ushuaia,AR,-54.8,-68.3,42.8,70,0,5.75,clear sky
36,Vaini,TO,-21.2,-175.2,84.2,79,20,10.36,few clouds
37,Asau,RO,46.4333,26.4,35.01,44,24,5.23,few clouds
38,Kargil,IN,34.5667,76.1,36.68,76,99,9.78,light snow
39,Kruisfontein,ZA,-34.0033,24.7314,60.01,84,100,4.0,overcast clouds
40,Hakodate,JP,41.7758,140.7367,55.4,88,75,12.66,broken clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,77.11,90,42,9.48,scattered clouds
42,Albany,US,42.6001,-73.9662,50.0,67,100,13.85,overcast clouds
43,Kalemie,CD,-5.9475,29.1947,69.73,84,96,1.66,light rain
44,Hilo,US,19.7297,-155.09,73.4,73,75,5.75,light rain
45,Port Macquarie,AU,-31.4333,152.9167,77.0,47,75,10.36,light rain
46,Isilkul,RU,54.9109,71.2728,15.91,82,78,18.41,broken clouds
47,Leningradskiy,RU,69.3833,178.4167,1.45,89,100,3.78,overcast clouds
48,Jamestown,US,42.097,-79.2353,36.0,86,90,23.09,light rain
49,Safakulevo,RU,54.9901,62.5442,21.7,92,42,11.59,scattered clouds
50,Huercal-Overa,ES,37.389,-1.9454,51.01,79,100,5.32,overcast clouds
51,Provideniya,RU,64.3833,-173.3,19.47,90,100,18.92,light snow
52,Tasiilaq,GL,65.6145,-37.6368,14.0,52,95,5.75,overcast clouds
53,Taber,CA,49.8167,-112.1518,50.0,43,8,23.02,clear sky
54,Salvador,SV,13.8333,-88.9167,75.2,78,0,1.14,clear sky
55,Porto Empedocle,IT,37.2934,13.5264,54.0,62,0,5.7,clear sky
56,Cabo Rojo,PR,18.0866,-67.1457,75.99,96,1,1.01,clear sky
57,Krasnoselkup,RU,65.7,82.4667,-0.63,94,35,12.08,scattered clouds
58,Georgetown,MY,5.4112,100.3354,86.0,83,20,3.44,few clouds
59,Zhaoyuan,CN,37.3592,120.3964,52.2,24,100,10.6,overcast clouds
60,Barrow,US,71.2906,-156.7887,-11.2,64,1,17.27,clear sky
61,Rio Grande,BR,-32.035,-52.0986,61.0,98,52,7.54,broken clouds
62,Ribeira Grande,PT,38.5167,-28.7,60.62,83,70,24.83,broken clouds
63,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,6.91,clear sky
64,Castro,BR,-24.7911,-50.0119,62.11,95,32,2.77,light rain
65,Cherskiy,RU,68.75,161.3,1.83,83,97,5.79,overcast clouds
66,Qaanaaq,GL,77.484,-69.3632,-21.3,80,77,6.46,broken clouds
67,Acarau,BR,-2.8856,-40.12,76.32,86,9,4.9,light rain
68,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,77,75,11.5,broken clouds
69,Olean,US,42.0776,-78.4297,34.0,100,90,16.11,light snow
70,Atuona,PF,-9.8,-139.0333,80.91,75,78,16.08,broken clouds
71,Quesnel,CA,52.9999,-122.5029,33.8,64,90,11.5,overcast clouds
72,Bilibino,RU,68.0546,166.4372,-0.27,86,85,3.36,overcast clouds
73,Morant Bay,JM,17.8815,-76.4093,80.6,50,20,8.05,few clouds
74,Deputatskiy,RU,69.3,139.9,10.89,83,99,3.22,overcast clouds
75,Naze,JP,28.3667,129.4833,71.6,78,40,11.5,scattered clouds
76,Springdale,US,36.1867,-94.1288,46.99,57,1,3.44,clear sky
77,Tuatapere,NZ,-46.1333,167.6833,61.0,87,64,10.0,broken clouds
78,Marawi,PH,7.9986,124.2928,82.99,83,88,5.99,overcast clouds
79,Victoria,HK,22.2855,114.1577,81.0,83,30,1.99,scattered clouds
80,Boda,CF,4.3189,17.4695,73.58,68,16,2.01,few clouds
81,Ponta Delgada,PT,37.7333,-25.6667,59.0,77,75,11.5,broken clouds
82,Sinnamary,GF,5.3833,-52.95,77.54,85,99,14.0,light rain
83,East London,ZA,-33.0153,27.9116,64.69,76,100,13.85,overcast clouds
84,Hasaki,JP,35.7333,140.8333,70.0,83,75,4.61,broken clouds
85,Mahebourg,MU,-20.4081,57.7,73.4,88,20,4.61,few clouds
86,Sao Filipe,CV,14.8961,-24.4956,68.9,72,32,15.01,scattered clouds
87,Kaputa,ZM,-8.4689,29.6619,66.6,93,100,1.86,light rain
88,Upernavik,GL,72.7868,-56.1549,-24.09,72,19,4.79,few clouds
89,Porto Santo,PT,33.072,-16.3415,62.6,88,40,11.5,light rain
90,Hun,LY,29.1268,15.9477,53.37,39,18,6.31,few clouds
91,Garowe,SO,8.4054,48.4845,70.23,67,99,3.8,overcast clouds
92,Nchelenge,ZM,-9.3451,28.734,67.46,90,100,5.95,overcast clouds
93,Torbay,CA,47.6666,-52.7314,25.0,74,75,5.75,broken clouds
94,Udachnyy,RU,66.4167,112.4,21.97,90,100,6.08,overcast clouds
95,Hobart,AU,-42.8794,147.3294,63.0,41,75,16.11,broken clouds
96,Grindavik,IS,63.8424,-22.4338,28.4,74,75,13.8,broken clouds
97,Saskylakh,RU,71.9167,114.0833,3.13,92,100,6.53,overcast clouds
98,Semey,KZ,50.4111,80.2275,32.0,93,75,11.18,light rain and snow
99,Lucea,JM,18.451,-78.1736,77.0,65,20,2.3,few clouds
100,Luderitz,NA,-26.6481,15.1594,60.35,85,0,5.17,clear sky
101,Codrington,AU,-38.2667,141.9667,63.86,57,39,10.04,scattered clouds
102,Dukat,RU,62.55,155.55,9.52,70,81,4.16,broken clouds
103,Bowen,AU,-20.0167,148.2333,86.0,58,75,16.11,broken clouds
104,Dingle,PH,10.9995,122.6711,86.58,62,100,11.63,overcast clouds
105,Shelburne,CA,44.0787,-80.2041,35.01,100,100,23.96,light snow
106,New Norfolk,AU,-42.7826,147.0587,63.0,48,80,3.0,broken clouds
107,Beringovskiy,RU,63.05,179.3167,15.13,88,100,17.87,overcast clouds
